time,x,y,z,phi,theta,psi,v_x,v_y,v_z,phi_dot,theta_dot,psi_dot,a_x,a_y,a_z,Thrust,Thrust_Scale,p,q,r,dist_x,dist_y,dist_z,distance,q_w,q_x,q_y,q_z
0.0,-8.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.26627821515130845,0.6728513114626913,-0.00022196208805495585,0.0,0.0,-4.8881413355075924,7.568290293368691,0.3911261133523871,0.26627821515130845,0.6728513114626913,-0.00022196208805495585,16.5,0.0,0.0,16.5,1.0,0.0,0.0,0.0
0.05,-8.49974701001444,0.9999001883450417,1.4969788447058112,0.016206437473020526,0.04104772060405721,0.00037792339087485246,0.010119599422413111,-0.0039924661983351305,-0.12084621176755278,0.3819792837695125,0.9690575126995968,0.015338897723048988,0.4047839768965267,-0.15969864793342686,0.05429286480548079,15.198488477003815,0.7854516008787501,0.381349833777816,0.9691786232959486,-0.00038031797907735757,16.49974701001444,9.981165495831501e-5,0.003021155294188782,16.499747286907823,0.9997565825638655,0.008097545513058286,0.020523276181606556,2.261986417349991e-5
0.1,-8.498520032082032,0.9994170280076968,1.4910011212251095,0.029832844284852326,0.07585125126677608,0.0010675197187720977,0.03895951787388332,-0.01533394729545884,-0.11826272746052398,0.16307698870375936,0.4230837138091586,0.012244955392838732,0.7488127611622791,-0.29396059595157803,0.04904650747566919,15.226144078927872,0.7868808309523447,0.1621490838829485,0.4232596532731655,-0.0004156041937519142,16.498520032082034,0.0005829719923031718,0.008998878774890473,16.49852249653549,0.9991699014343292,0.014884904946511091,0.03792026678366665,-3.2241306017682025e-5
0.15000000000000002,-8.495543451015838,0.9982481070005649,1.4851419571107143,0.03551442180735397,0.0908738022013476,0.0015213752518612152,0.08010372477398958,-0.03142289298981645,-0.11610383711527562,0.06418611219630588,0.17781832357370206,0.0059092659307217734,0.8969555148419489,-0.34959723182279645,0.037309106334262765,15.22992846795294,0.787076406612555,0.06364985351964765,0.17791515082526732,-0.0004326151359883762,16.495543451015838,0.0017518929994351229,0.014858042889285716,16.495550235591388,0.9988107537001383,0.017703400772800786,0.04542758754730955,-4.67297645528425e-5
0.2,-8.49037934172941,0.9962272163622482,1.4793789691271482,0.03761081139586713,0.09701509653494826,0.00172214499970715,0.12646064668305332,-0.049412732542853596,-0.11441568222736719,0.01966947134422032,0.0678334497703244,0.0021215239831117597,0.9573213615205549,-0.36999635029875616,0.030217089182073664,15.228925438594382,0.7870245704699939,0.019463974198601942,0.067864876049083,-0.0004406149336837976,16.49037934172941,0.0037727836377517976,0.02062103087285183,16.49039266648756,0.9986475460005196,0.01874042685238401,0.04849610887989061,-5.1884876128694205e-5
0.25,-8.482846466295188,0.9932911884937767,1.4736937548938214,0.03809437397431062,0.0991738231823603,0.0017817427249904511,0.17485437068584414,-0.06802838219600725,-0.11299288710570964,-0.0003269682064810281,0.018515616126157174,0.00026238502821743443,0.9784275985910119,-0.3746296358274488,0.02669471568422921,15.226981874395356,0.786924127875729,-0.00035294729796121624,0.018512126866179063,-0.0004442638985348925,16.482846466295186,0.006708811506223267,0.026306245106178627,16.482868823664862,0.9985900965352114,0.01897846732511601,0.049574528913095765,-5.443189690159712e-5
0.3,-8.472878507782376,0.989422999208646,1.4680764557190917,0.03785369192631517,0.09954660541081858,0.0017736615616187933,0.223863969826679,-0.08669918920922158,-0.11169907988347724,-0.009300313713336852,-0.0036043269878257575,-0.0005856315630857322,0.9819563670423018,-0.3722026447011746,0.025057573205069517,15.224871600734135,0.7868150698053816,-0.009242112315175039,-0.0036237982736002055,-0.0004459103411623374,16.472878507782376,0.010577000791354041,0.03192354428090827,16.472912836465312,0.9985831216527425,0.01885815590051031,0.04976058647833807,-5.6032379697451454e-5
0.35,-8.460460581374178,0.9846262809585538,1.462522360745131,0.03728804066125865,0.09911826338488146,0.0017351114650427852,0.2728530865011905,-0.10516954079446454,-0.1104647190749548,-0.013325736888923884,-0.013529354049659199,-0.0009563722999559369,0.9776082999380676,-0.3666114187085852,0.024316859135829816,15.222750255387991,0.7867054395549349,-0.013231098067283908,-0.013555427540252333,-0.00044665050269755637,16.46046058137418,0.015373719041446243,0.03747763925486902,16.460510425732686,0.9985990416696249,0.01857707315000219,0.04954637279106567,-5.72095730239226e-5
0.39999999999999997,-8.445600841512514,0.9789139209191894,1.4570293138788577,0.03657660697961424,0.09833039257458655,0.0016834324328038326,0.32153650796538513,-0.12332486078011128,-0.1092571555759717,-0.0151316103768524,-0.017985478362137347,-0.0011107889896030776,0.9697285586296225,-0.3596013807173179,0.023985680823491506,15.22064915560174,0.7865968555866532,-0.015022561986914762,-0.01801387240165248,-0.00044698281842745017,16.445600841512515,0.021086079080810616,0.0429706861211423,16.445670498369893,0.9986250136067267,0.01822382031792337,0.049152529817122606,-5.817698638804867e-5
0.44999999999999996,-8.428317770242398,0.9723029551586452,1.4515963461926407,0.03579976561649511,0.09738104009137757,0.0016264414528267695,0.36978634283930684,-0.1411137696416569,-0.1080615518727084,-0.015942044147913087,-0.019988620966222125,-0.0011688502094800467,0.9602648363271449,-0.3519549737445337,0.023838467307037092,15.218574612543076,0.7864896440590736,-0.015828400113385998,-0.020017450811458733,-0.0004471319578635428,16.428317770242398,0.027697044841354823,0.04840365380735934,16.428412424822337,0.9986552202629114,0.017838133990717882,0.04867800871060298,-5.903673071597237e-5
