time,x,y,z,phi,theta,psi,v_x,v_y,v_z,phi_dot,theta_dot,psi_dot,a_x,a_y,a_z,Thrust,Thrust_Scale,p,q,r,dist_x,dist_y,dist_z,distance,q_w,q_x,q_y,q_z
0.0,-8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9810431610973708e-9,1.3352831277650885e-8,-5.126810782729808e-18,0.0,0.0,-2.4605460010152873,11.30877784833051,0.5844329637380109,2.9810431610973708e-9,1.3352831277650885e-8,-5.126810782729808e-18,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0
0.05,-8.49999999999384,0.999999999998625,-9.999864013653873e-9,1.7945759495134426e-10,8.040329097848227e-10,-4.0252074170403786e-14,2.464105393033821e-10,-5.499717165380611e-11,-3.9999456054615493e-7,4.197260638568092e-9,1.8808485113559065e-8,-6.871837845681157e-18,9.857869612393835e-9,-2.2002452268501245e-9,2.4605300012310583,18.891270400481222,0.9762930439525178,4.197260638568092e-9,1.8808485113559065e-8,-1.0247163348838628e-17,-6.160405519040069e-12,1.3750112159982564e-12,1.500000009999864,1.500000009999864,1.0,8.972879747568022e-11,4.0201645489240955e-10,-2.0126073157654955e-14
0.1,-8.499999999966363,0.9999999999924931,0.0015640327639216962,3.265919123318807e-10,1.4637377799623023e-9,-1.0993764435740501e-13,8.526764139313731e-10,-1.9027872268073476e-10,0.06256211054598894,1.6881120603703585e-9,7.579709693107283e-9,-8.026729512233144e-18,1.4406063933587613e-8,-3.2143079407086975e-9,0.04197042038430432,15.164705315867185,0.7837057010784074,1.6881120603703585e-9,7.579709693107283e-9,-1.0502201395825544e-17,-3.363709311088314e-11,7.506884003305458e-12,1.4984359672360783,1.4984359672360783,1.0,1.6329595616598057e-10,7.318688899811421e-10,-5.4968941689932686e-14
0.15000000000000002,-8.49999999990415,0.9999999999786119,0.004744374332699717,3.840253978037794e-10,1.7219901033497297e-9,-1.5184391940668157e-13,1.6358964432604895e-9,-3.64971056235329e-10,0.06465155220513187,6.092273615701007e-10,2.750383242053331e-9,-1.0225714921872721e-17,1.6947150278614677e-8,-3.7794271376647435e-9,0.041607245969954576,15.164145729449363,0.783676781883688,6.092273615701007e-10,2.750383242053331e-9,-1.12819319405151e-17,-9.585043869719811e-11,2.1388113502496253e-11,1.4952556256673002,1.4952556256673002,1.0,1.9201269890195506e-10,8.609950516748503e-10,-7.59221250253244e-14
0.2,-8.499999999800673,0.99999999995553,0.008028734016664546,4.023743034462837e-10,1.8052781592737572e-9,-1.6697925517000038e-13,2.5031140642242045e-9,-5.583009519203758e-10,0.0667228351534613,1.2472886519931788e-10,5.811389948123715e-10,-1.2119534463007781e-17,1.7766182983171702e-8,-3.959863728498425e-9,0.04124407194927571,15.163586143638112,0.7836478627203158,1.247288651993179e-10,5.811389948123715e-10,-1.2353369861250882e-17,-1.993267773059415e-10,4.4469983251360645e-11,1.4919712659833355,1.4919712659833355,1.0,2.011871517232172e-10,9.026390796368619e-10,-8.348980918438566e-14
0.25,-8.499999999653296,0.9999999999226639,0.01141620388063426,4.031934017210113e-10,1.8100645495950066e-9,-1.6765039929355174e-13,3.3920040027800113e-9,-7.563483695768882e-10,0.06877595940532726,-9.196493440716208e-11,-3.896833819052724e-10,-1.3635738783450576e-17,1.781262965045626e-8,-3.9677782452435775e-9,0.040880898110740915,15.163026558107516,0.7836189435714478,-9.196493440716206e-11,-3.896833819052724e-10,-1.3478621015106041e-17,-3.467039988436227e-10,7.733613749394408e-11,1.4885837961193658,1.4885837961193658,1.0,2.015967008605815e-10,9.050322747974865e-10,-8.382538209829664e-14
0.3,-8.49999999946163,0.999999999879933,0.014905875989975411,3.961941095831816e-10,1.7798068306171752e-9,-1.6167397470243564e-13,4.274643168346242e-9,-9.528800225288895e-10,0.07081092496831877,-1.8800675186810416e-10,-8.206253770799246e-10,-1.4873509838138245e-17,1.7514220662686124e-8,-3.898755157656836e-9,0.0405177243945225,15.162466972765387,0.7835900244323196,-1.8800675186810413e-10,-8.206253770799246e-10,-1.45483828975647e-17,-5.383693491012309e-10,1.2006695637722942e-10,1.4850941240100246,1.4850941240100246,1.0,1.9809705479166273e-10,8.899034153085716e-10,-8.083716363846344e-14
0.35,-8.499999999226299,0.9999999998274829,0.018496842410378078,3.857515350855997e-10,1.7340819890756975e-9,-1.5295274663180495e-13,5.138607597190555e-9,-1.1451259948655858e-9,0.07282773184778792,-2.2969622898101577e-10,-1.0083682844422826e-9,-1.5910873934113457e-17,1.7063634776211754e-8,-3.795854723441868e-9,0.04015455077046859,15.161907387565266,0.7835611053005305,-2.2969622898101575e-10,-1.0083682844422826e-9,-1.5521894320458214e-17,-7.737011031849761e-10,1.7251711170729322e-10,1.4815031575896218,1.4815031575896218,1.0,1.9287576754286615e-10,8.67040994537834e-10,-7.647654054709979e-14
0.39999999999999997,-8.49999999894837,0.9999999997655579,0.022188195207769747,3.7383655918864046e-10,1.6817086980468938e-9,-1.4328406385939484e-13,5.978455971863487e-9,-1.331876784783333e-9,0.07482638004787874,-2.469028078535482e-10,-1.0865633565890567e-9,-1.6795738731033812e-17,1.654766274603745e-8,-3.6784737515964114e-9,0.03979137722016368,15.16134780247878,0.7835321861746138,-2.4690280785354815e-10,-1.0865633565890567e-9,-1.63895416244661e-17,-1.0516298942775393e-9,2.3444213237411304e-10,1.4778118047922302,1.4778118047922302,1.0,1.8691827959438046e-10,8.408543490234335e-10,-7.164218910074573e-14
0.44999999999999996,-8.499999998629113,0.9999999996944452,0.02597902644826586,3.613369253721264e-10,1.6266592263589134e-9,-1.3346571311773608e-13,6.791892743038799e-9,-1.5126259005017544e-9,0.07680686957196577,-2.5308254570531937e-10,-1.1154155108036328e-9,-1.7556939178014512e-17,1.6005396669694894e-8,-3.5553487345581304e-9,0.03942820373113953,15.160788217486713,0.7835032670535769,-2.530825457053193e-10,-1.1154155108036328e-9,-1.715389836682835e-17,-1.3708874035955887e-9,3.0555480368121835e-10,1.4740209735517342,1.4740209735517342,1.0,1.8066846268611748e-10,8.133296131794446e-10,-6.673300350187892e-14
